District,Households Total,Population Total,Population Rural,Population Urban,Male Total,Female Total
"Thiruvananthapuram","837877","3301427","1529831","1771596","1581678","1719749"
"Kollam","669375","2635375","1448217","1187158","1246968","1388407"
"Pathanamthitta","322684","1197412","1065799","131613","561716","635696"
"Alappuzha","535958","2127789","979643","1148146","1013142","1114647"
"Kottayam","487296","1974551","1409158","565393","968289","1006262"
"Idukki","279812","1108974","1056929","52045","552808","556166"
"Ernakulam","814011","3282388","1048025","2234363","1619557","1662831"
"Thrissur","759210","3121200","1024794","2096406","1480763","1640437"
"Palakkad","637220","2809934","2133124","676810","1359478","1450456"
"Malappuram","793999","4112920","2295709","1817211","1960328","2152592"
"Kozhikode","697710","3086293","1013721","2072572","1470942","1615351"
"Wayanad","190894","817420","785840","31580","401684","415736"
"Kannur","554298","2523003","882017","1640986","1181446","1341557"
"Kasaragod","273410","1307375","798328","509047","628613","678762"
